originals	en	es	sourceLanguage
Respiratory mortality	Respiratory mortality	Mortalidad por causas respiratorias	en
Respiratory Tract Diseases	Respiratory tract diseases	Enfermedades de las vías respiratorias	en
Risk factors	Risk factors	Factores de riesgo	en
risk prediction	Risk prediction	Predicción del riesgo	en
Sarcopenia	Sarcopenia	Sarcopenia	en
sarcopenic obesity	Sarcopenic obesity	Obesidad sarcopénica	en
screen time	Screen time	Tiempo frente a pantallas	en
Sedentary Lifestyle	Sedentary lifestyle	Estilo de vida sedentario	en
Semaglutide	Semaglutide	Semaglutida	en
Sleep	Sleep	Sueño	en
sleeping habits	Sleeping habits	Hábitos de sueño	en
Social Environment	Social environment	Entorno social	en
Socioeconomic Inequalities	Socioeconomic inequalities	Desigualdades socioeconómicas	en
Sodium excretion	Sodium excretion	Excreción de sodio	en
Software	Software	Software	en
Sports	Sports	Deportes	en
Systematic review	Systematic review	Revisión sistemática	en
telomere length	Telomere length	Longitud de los telómeros	en
Transcription Factor 7-Like 2 Protein	Transcription factor 7-like 2 protein	Proteína similar al factor de transcripción 7 de tipo 2	en
Triglicéridos	Triglycerides	Triglicéridos	es
Vegetarians	Vegetarians	Vegetarianos	en
Waist circumference	Waist circumference	Circunferencia de cintura	en
Waist-height ratio	Waist-height ratio	Relación cintura-estatura	en
Walking pace	Walking pace	Ritmo de marcha	en
weight control	Weight control	Control del peso	en
Western diet	Western diet	Dieta occidental	en
